internalTaxonId,suborder,family,genus,species_name,species_iucn,species_tree,species_phylacine,authority,risk,yearPublished,assessmentDate,population_trend,hemisphere,realm,continent,cave_use,roost_pref,hib_study,WNS,detected,WNS_declining,Pd_load_ug_cm2,Pd_load_ng_mm2_forearm_length,log10_Pd_load,lesion.count_cm2,source,links,,,
2982,Yangochiroptera,Phyllostomidae,Brachyphylla,cavernarum,Brachyphylla cavernarum,Brachyphylla_cavernarum,Brachyphylla_cavernarum,"Gray, 1834",Least Concern,2019,2016-07-09 00:00:00 UTC,Unknown,Northern,Neotropical,North America,yes,caves,,,,,,,,,"Gannon et al. 2005; Mendes 2011; Jones et al., 2009; Ratcliffe 2009; Smith et al. 2003; Swanepoel and Genoways 1983   ",,,,
2983,Yangochiroptera,Phyllostomidae,Brachyphylla,nana,Brachyphylla nana,Brachyphylla_nana,Brachyphylla_nana,"Miller, 1902",Least Concern,2019,2016-07-08 00:00:00 UTC,Stable,Northern,Neotropical,North America,yes,caves,,,,,,,,,"Mancina et al. 2004; NMNH*; Jones et al., 2009; Smith et al. 2003   ",,,,
3859,Yinpterochiroptera,Megadermatidae,Cardioderma,cor,Cardioderma cor,Cardioderma_cor,Cardioderma_cor,"(Peters, 1872)",Least Concern,2017,2016-08-31 00:00:00 UTC,Unknown,Northern,Afrotropical,Africa,yes,broad,,,,,,,,,Faurby et al. 2018,,,,
88110352,Yangochiroptera,Phyllostomidae,Carollia,benkeithi,Carollia benkeithi,Carollia_benkeithi,,"Solari &amp; Baker, 2006",Least Concern,2019,2016-07-11 00:00:00 UTC,Stable,Southern,Neotropical,South America,no,,,,,,,,,,Arias 2008,,,,
3903,Yangochiroptera,Phyllostomidae,Carollia,brevicauda,Carollia brevicauda,Carollia_brevicauda,Carollia_brevicauda,"(Schinz, 1821)",Least Concern,2016,2016-07-05 00:00:00 UTC,Stable,Northern/Southern,Neotropical,South America,yes,broad,,,,,,,,,"Arias 2008; <e7>vila Flores and Medellin 2004; Mendes 2011; Pacheco et al. 2004; Jones et al., 2009; Smith et al. 2003; Avila-Flores and Medell<ed>n (2004)",,,,
88110411,Yangochiroptera,Phyllostomidae,Carollia,castanea,Carollia castanea,Carollia_castanea,Carollia_castanea,"H. Allen, 1890",Least Concern,2016,2016-03-14 00:00:00 UTC,Stable,Northern/Southern,Neotropical,South America,yes,broad,,,,,,,,,"Mendes 2011; NMNH*; Jones et al., 2009; Ratcliffe 2009; Smith et al. 2003",,,,
136782,Yangochiroptera,Phyllostomidae,Carollia,manu,Carollia manu,Carollia_manu,Carollia_manu,"Pacheco, Solari &amp; Velazco, 2004",Least Concern,2015,2015-07-20 00:00:00 UTC,Stable,Southern,Neotropical,South America,no,,,,,,,,,,Pacheco et al. 2004,,,,
88110257,Yangochiroptera,Phyllostomidae,Carollia,monohernandezi,Carollia monohernandezi,,,"Muñoz, Cuartas-Calle &amp; Gonzalez, 2004",Data Deficient,2019,2019-02-08 00:00:00 UTC,Unknown,Northern,Neotropical,South America,no,,,,,,,,,,,,,,
3905,Yangochiroptera,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,Carollia_perspicillata,Carollia_perspicillata,"(Linnaeus, 1758)",Least Concern,2015,2015-07-20 00:00:00 UTC,Stable,Northern/Southern,Neotropical,North America/South America,yes,caves,,,,,,,,,"<e7>vila Flores and Medellin 2004; dos Reis et al. 2007; Lawlor 1973; Magalha_s and Costa 2009; Norberg 1981; Jones et al., 2009; Ratcliffe 2009; Smith et al. 2003; Swartz et al. 2003; Audet and Thomas (1997)",,,,
136268,Yangochiroptera,Phyllostomidae,Carollia,sowelli,Carollia sowelli,Carollia_sowelli,Carollia_sowelli,"Baker, Solari &amp; Hoffmann, 2002",Least Concern,2015,2015-07-20 00:00:00 UTC,Stable,Northern,Neotropical,North America/South America,yes,caves,,,,,,,,,Garc<92>a-Garc<92>a et al. 2014; Voigt and Holderied 2011; Czenze & Dunbar 2017,,,,
